ep det stealth vigilance
1 1.0000 0.500 0.800
2 1.0000 0.650 1.000
3 1.0000 0.600 0.540
4 0.7500 0.600 0.490
5 0.8000 0.700 1.000
6 0.8000 0.500 0.810
7 0.8000 0.850 1.000
8 0.8000 1.000 0.950
9 1.0000 1.000 0.720
10 1.0000 1.000 0.690
11 1.0000 1.000 0.660
12 0.8000 1.000 0.430
13 0.6000 0.900 0.400
14 0.6000 1.000 1.000
15 0.4000 0.950 0.340
16 0.2000 0.850 0.310
17 0.2000 0.750 0.280
18 0.4000 0.650 0.650
19 0.2000 0.800 0.220
20 0.2000 0.700 0.190
21 0.4000 1.000 0.760
22 0.4000 0.600 0.310
23 0.4000 0.900 0.680
24 0.6000 0.650 0.650
25 0.6000 0.800 0.220
26 0.6000 1.000 0.790
27 0.6000 0.850 0.160
28 0.6000 0.750 0.530
29 0.4000 0.900 0.100
30 0.4000 0.800 0.100
31 0.4000 0.900 0.500
32 0.4000 0.850 0.100
33 0.4000 0.950 0.300
34 0.4000 0.900 0.100
35 0.6000 0.800 0.300
36 0.6000 1.000 0.300
37 0.8000 1.000 0.500
38 0.8000 1.000 0.300
39 0.8000 1.000 0.100
40 0.6000 0.900 0.100
